grupa;CA;CAF;CAS;CD;CO;CS;CSD;CU;DAL;FE;FE2;GA;HG;K;MG;MN;MSE;NA;NI;SEP;SR;TPO;ZN
1;4.39750692521;0.0;0.0;0.0;49.0927977839313;0.0;32.95429362880875;0.0;0.99722991689751;47.3351800554;0.0;0.0;1.99445983379502;0.0;95.7229916897462;101.210526315786;51.0;10.5581717451529;29.7091412742381;0.0;0.0;0.0;392.432132964328
2;12.152777777775;0.0;0.0;0.0;0.0;0.0;0.0;2.9166666666666;0.0;0.0;0.0;0.0;0.0;0.0;2.625;1.9166666666666;0.0;3.444444444444;0.9166666666667;1.0;0.0;0.0;0.9305555555556
3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9698492462311;0.0;0.0;0.0;0.0;0.0;0.0;0.834170854271;6.5075376884419995;2.0;0.0;0.0;0.0;0.0;0.0;24.542713567812
4;0.877442273535;0.0;0.0;1.9715808170516;1.9786856127886;0.0;1.99289520426288;5.95737122557728;11.91474245115456;14.4937833037305;1.99289520426288;0.0;0.0;0.0;16.37655417406;9.644760213144;2.99467140319716;1.943161634103;2.9360568383658;0.0;0.0;0.0;46.039076376576
5;10.620689655168;0.0;0.0;0.0;3.8160919540228;0.0;0.0;0.0;0.0;11.4482758620684;0.0;0.0;0.0;0.0;18.528735632186;4.712643678161;3.0;0.0;0.0;0.0;0.0;0.0;11.034482758624
6;171.88539325846;0.0;0.0;37.551685393258;73.2674157303352;0.0;98.72191011236004;24.915730337078752;57.86966292134808;73.2932584269665;8.95449438202248;0.0;0.999438202247191;0.0;332.440449438336;177.4106741573016;133.84943820224692;57.43820224719;74.548314606742;0.0;0.0;3.99325842696628;1129.456179774416
7;1086.1525044726359;0.0;0.0;29.7048300536673;190.3779069767445;0.0;66.85017889087631;40.944991055456164;13.9749552772809;143.249105545611;18.92352415026832;0.0;0.999105545617174;5.96243291592126;878.719588550577;791.98792486593;198.82200357781764;299.16279069768;133.7495527728072;11.994633273703045;0.0;6.99060822898032;1809.574239713256
8;475.813745019883;0.0;0.0;0.99800796812749;0.0;0.0;0.0;20.91633466135458;0.0;15.8406374501992;0.0;0.0;0.0;1.98605577689244;394.67928286827396;209.354581673304;26.0;132.493027888444;20.7490039840629;5.0;0.0;0.0;226.61354581664
9;0.0;0.0;0.0;0.0;0.99052132701422;0.0;0.0;0.0;5.94312796208532;0.0;1.99052132701422;0.0;0.0;0.0;1.63981042654;0.0;0.0;2.9218009478673;0.9810426540284;0.0;0.0;0.0;33.883886255953
10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.99275362318841;0.0;0.0;0.0;3.695652173915;5.304347826083999;0.0;0.0;1.9565217391304;0.0;0.0;0.0;23.789855072473003
11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.740740740741;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.814814814814
12;299.413141314176;0.0;0.0;0.0;0.0;0.0;0.0;9.963996399640001;0.0;3.96399639963996;0.996399639964;0.0;0.0;1.98739873987398;219.558955895716;132.0792079207905;14.0;77.573357335737;12.859585958596;2.0;0.0;0.0;158.435643564429
13;666.64748201454;0.0;0.0;7.98848920863312;7.93093525179856;0.0;0.0;28.87482014388489;0.0;67.51079136690623;0.0;0.0;0.0;1.98561151079136;404.251798560966;289.830215827404;31.0;185.28345323741118;23.7237410071944;14.0;0.0;0.0;332.78848920882297
14;0.0;0.0;0.0;0.0;0.9848484848485;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.99242424242424;0.0;0.0;2.568181818183;5.0;0.9318181818182;0.0;0.0;0.0;0.0;19.568181818192997
15;4.65882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9294117647058;0.9882352941176;0.0;0.0;0.0;0.0;0.0;12.035294117658
16;992.602258469088;0.0;0.0;35.66875784190732;232.2266833960752;0.0;92.80552070263444;41.87703889585944;18.968214136344592;139.28983688833318;22.90380593893769;0.0;1.998327059807612;4.9707235466332005;802.851944793093;758.576327896684;250.7900460058553;260.3458803847819;147.67879548306;8.996235884567128;0.0;7.98996235884568;2168.632371392475
17;13.789731051343999;0.0;0.0;10.7579462102684;11.7066014669928;0.0;15.92176039119808;2.98899755501223;5.97066014669928;12.8092909535448;1.99511002444988;0.0;0.0;0.0;13.3325183374082;11.363080684592001;27.93154034229832;7.6381418092912;3.9413202933984;0.0;0.0;0.0;185.090464547527
18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.91;0.0;0.0;0.0;0.0;2.46;1.92;0.0;0.0;0.0;0.0;0.0;0.0;8.4
19;0.0;0.0;0.0;0.9842519685039;0.0;0.0;0.0;0.0;0.99212598425197;4.7637795275590005;2.9291338582677;0.0;0.0;0.0;1.8582677165354;6.55118110236;0.0;0.9212598425197001;0.0;0.0;0.0;0.0;12.236220472433999
20;0.0;0.0;0.0;0.0;12.9383886255918;0.0;0.0;3.96208530805688;0.0;2.97156398104266;0.0;0.0;0.0;0.0;3.497630331756;12.6729857819908;0.0;0.0;0.0;0.0;0.0;0.0;0.0
