grupa16,GA,0.000418235048097,1
grupa16,HG,0.000836470096194,2
grupa16,K,0.00585529067336,14
grupa16,MG,0.237557507319,568
grupa16,MN,0.101212881639,242
grupa16,MSE,0.000836470096194,2
grupa16,NA,0.0393140945211,94
grupa16,NI,0.0154746967796,37
grupa16,SEP,0.000418235048097,1
grupa16,SR,0.000418235048097,1
grupa16,TPO,0.00125470514429,3
grupa16,ZN,0.417816813049,999
grupa17,CA,0.138141809291,113
grupa17,CAF,0.0,0
grupa17,CAS,0.0,0
grupa17,CD,0.0220048899756,18
grupa17,CO,0.0244498777506,20
grupa17,CS,0.0,0
grupa17,CSD,0.00488997555012,4
grupa17,CU,0.00366748166259,3
grupa17,DAL,0.00488997555012,4
grupa17,FE,0.0146699266504,12
grupa17,FE2,0.00244498777506,2
grupa17,GA,0.0,0
grupa17,HG,0.00122249388753,1
grupa17,K,0.00244498777506,2
grupa17,MG,0.0476772616137,39
grupa17,MN,0.125916870416,103
grupa17,MSE,0.00244498777506,2
grupa17,NA,0.0452322738386,37
grupa17,NI,0.0146699266504,12
grupa17,SEP,0.0,0
grupa17,SR,0.0,0
grupa17,TPO,0.0,0
grupa17,ZN,0.545232273839,446
grupa18,CA,0.09,9
grupa18,CAF,0.0,0
grupa18,CAS,0.0,0
grupa18,CD,0.0,0
grupa18,CO,0.0,0
grupa18,CS,0.0,0
grupa18,CSD,0.0,0
grupa18,CU,0.0,0
grupa18,DAL,0.0,0
grupa18,FE,0.03,3
grupa18,FE2,0.02,2
grupa18,GA,0.0,0
grupa18,HG,0.0,0
grupa18,K,0.0,0
grupa18,MG,0.18,18
grupa18,MN,0.04,4
grupa18,MSE,0.0,0
grupa18,NA,0.03,3
grupa18,NI,0.01,1
grupa18,SEP,0.0,0
grupa18,SR,0.0,0
grupa18,TPO,0.0,0
grupa18,ZN,0.6,60
grupa19,CA,0.0708661417323,9
grupa19,CAF,0.0472440944882,6
grupa19,CAS,0.0,0
grupa19,CD,0.0157480314961,2
grupa19,CO,0.0,0
grupa19,CS,0.0,0
grupa19,CSD,0.0,0
grupa19,CU,0.0,0
grupa19,DAL,0.00787401574803,1
grupa19,FE,0.0472440944882,6
grupa19,FE2,0.0236220472441,3
grupa19,GA,0.0,0
grupa19,HG,0.00787401574803,1
grupa19,K,0.00787401574803,1
grupa19,MG,0.0708661417323,9
grupa19,MN,0.181102362205,23
grupa19,MSE,0.0,0
grupa19,NA,0.0787401574803,10
grupa19,NI,0.0236220472441,3
grupa19,SEP,0.0,0
grupa19,SR,0.0,0
grupa19,TPO,0.0,0
grupa19,ZN,0.417322834646,53
grupa2,CA,0.513888888889,37
grupa2,CAF,0.0,0
grupa2,CAS,0.0,0
grupa2,CD,0.0,0
grupa2,CO,0.0,0
grupa2,CS,0.0,0
grupa2,CSD,0.0,0
grupa2,CU,0.0277777777778,2
grupa2,DAL,0.0,0
grupa2,FE,0.0,0
grupa2,FE2,0.0,0
grupa2,GA,0.0,0
grupa2,HG,0.0,0
grupa2,K,0.0,0
grupa2,MG,0.125,9
grupa2,MN,0.0416666666667,3
grupa2,MSE,0.0,0
grupa2,NA,0.138888888889,10
grupa2,NI,0.0833333333333,6
grupa2,SEP,0.0,0
grupa2,SR,0.0,0
grupa2,TPO,0.0,0
grupa2,ZN,0.0694444444444,5
grupa20,CA,0.0710900473934,15
